Sample	posterior	likelihood	prior	pi.0.A	pi.0.C	pi.0.G	pi.0.T	pi.1.A	pi.1.C	pi.1.G	pi.1.T	pi.2.A	pi.2.C	pi.2.G	pi.2.T	kappa.0	kappa.1	kappa.2	mu.0	mu.1	mu.2	clockRate	Theta	psi.height	codon.0.treeLikelihood	codon.1.treeLikelihood	codon.2.treeLikelihood
0	-14079.547319420286	-13217.66573166539	-861.8815877548965	0.3886317408139418	0.28596995890094556	0.12813525525907385	0.1972630450260387	0.27782341117613396	0.6060550163313121	0.026011966346910276	0.09010960614564362	0.35262731611869547	0.25912903480241267	0.1913936846925051	0.19684996438638677	4.827489443611372	1.9264720087980516	4.005893150893839	1.209505167041409	0.6841349230356105	1.1073575535755584	0.0020394182652054616	190.384541314297	208.10380692976577	-3564.8114411307643	-4626.790686645534	-5026.063603889091
7500	-7468.760426928705	-6622.5018941064845	-846.2585328222206	0.4783695814449883	0.23561461238562054	0.12691080394284013	0.15910500222655097	0.25856986331636056	0.4429105253227791	0.09185192903534792	0.20666768232551236	0.2240991356376896	0.3836087376671551	0.08923036337123721	0.30306176332391815	12.17599897006081	1.5372895580087402	4.938893757043566	0.675621244542142	0.9016657042377026	1.4211683904798802	0.0010261478782573664	301.79710610054053	97.2498877353652	-1758.763541278277	-2139.540100949664	-2724.198251878544
15000	-6704.656808336061	-5854.059104620816	-850.597703715245	0.4561759352604417	0.27046466600997776	0.11948715279235253	0.15387224593722792	0.2969037658621051	0.4023759370569897	0.0931008719380925	0.2076194251428126	0.28480192347806765	0.3650934029448528	0.08869444365183288	0.26141022992524665	10.169478052168058	2.0155570233119797	2.8120367045353967	0.6226425042327685	1.002162535525156	1.3733980197860418	7.389558628197893E-4	324.2059681085836	117.28728831153543	-1532.5122408083967	-1918.1579766276084	-2403.3888871848103
22500	-6434.841545222931	-5603.828926894774	-831.0126183281568	0.4673364786856834	0.22703855722398836	0.12090850545478826	0.18471645863553987	0.3024049229983488	0.4023759370569897	0.10077577837316032	0.19444336157150102	0.3401744840543849	0.37133504077625545	0.08636525712222126	0.2021252180471384	10.17345592437151	2.3121368033653233	2.123091386506569	0.6781746635171026	1.1196091164694661	1.2006837184111319	7.390640907101964E-4	266.9645625481468	121.73564537743397	-1465.1374468386834	-1836.2720440180224	-2302.419436038068
30000	-6410.533240017217	-5578.557656269845	-831.9755837473723	0.5250919604957723	0.20601597075149253	0.0947269866404617	0.17416508211227336	0.2747747041049712	0.3951892688117713	0.11428145656242361	0.2157545705208338	0.31430646540070384	0.3902576944995203	0.07907463672634288	0.21636120337343298	9.148857280103094	1.9979961940640818	3.3748482117762206	0.5868166034989682	1.0931830734395669	1.3180327830781269	7.009333744375382E-4	245.05356404324107	141.18478533078198	-1459.0318634852756	-1823.6041566773758	-2295.921636107194
37500	-6328.243030092628	-5545.703021141234	-782.5400089513939	0.4799811214700864	0.2589027710623384	0.10899344444986919	0.15212266301770588	0.32246298805010015	0.4062565953191353	0.09520787528234867	0.17607254134841585	0.34345822836351986	0.3649253204094182	0.0874572404511325	0.20415921077592947	9.042946440815777	2.329760438384452	2.7608216916787964	0.68310820229386	0.9108298848340644	1.4045529043115703	8.638659153052167E-4	162.54669298629813	125.19475573105807	-1446.8115811215619	-1809.137552331692	-2289.7538876879803
45000	-6343.4769950853215	-5563.266614270775	-780.2103808145464	0.48461179979231944	0.25613769690847477	0.08309308850723934	0.17615741479196634	0.31959431995118465	0.37461202609045	0.1088991456861001	0.1968945082722653	0.33145588097510437	0.39982758929243767	0.06762376775719617	0.2010927619752618	10.761406540157477	3.3465584452163855	1.9143065861134136	0.7663417642317585	0.969592997726789	1.2629525797758896	8.811155680407571E-4	171.16097255292883	106.65860381281598	-1456.3712727391458	-1811.3962773855449	-2295.499064146084
52500	-6295.135026506649	-5524.415310277981	-770.7197162286687	0.5026156591555927	0.22994244339424497	0.09369082947538283	0.17375106797477943	0.34827697409950437	0.41885836975656615	0.08849520639944285	0.14436944974448665	0.3210464308752315	0.3545942191345513	0.110658470910383	0.2137008790798342	9.980780157696257	2.055657166641364	2.319819673573774	0.6194856078603315	0.9055323282749224	1.4731700905688432	8.983314122975486E-4	135.1162063624814	98.7045496584352	-1441.6281336327884	-1806.2955787590624	-2276.49159788613
60000	-6239.633902303851	-5514.093376139503	-725.540526164348	0.5050257907191029	0.22894122540707892	0.09897954150970607	0.16705344236411196	0.3260184723693824	0.3781523526400207	0.08130113109017331	0.2145280439004236	0.3132286224554808	0.37626177480365547	0.09266769242251194	0.21784191031835182	11.492541097498714	1.8987815656165443	3.9242209368426324	0.5579579850992723	1.074363493387016	1.3655735595379945	0.0011215998947182576	88.65362833480145	90.87584999968817	-1447.201814390729	-1808.8977511666976	-2257.993810582076
67500	-6218.737843241952	-5506.806588220581	-711.9312550213708	0.46549095490009135	0.2590007246051681	0.10074728033095014	0.17476104016379024	0.2959154333905964	0.4363192000500352	0.11831426997136094	0.14945109658800743	0.32628610465391017	0.3891608625538608	0.08601329171597871	0.19853974107625041	8.139257878032192	1.0952857670071878	1.8020567044951425	0.6503054046735945	0.8854490993686076	1.462580283599101	0.0012655850346363034	97.26632697862755	82.04093010874936	-1435.501071231122	-1797.746365907712	-2273.5591510817467
