Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	gamma	Theta	pi_trait.1	pi_trait.2	pi_trait.3	pi_trait.4	pi_trait.5	I.1	I.2	I.3	I.4	I.5	I.6	I.7	I.8	I.9	I.10	R_trait.1	R_trait.2	R_trait.3	R_trait.4	R_trait.5	R_trait.6	R_trait.7	R_trait.8	R_trait.9	R_trait.10	mu_trait	psi.height	psi.treeLength	D.treeLikelihood	svs.relGeoRate_Fujian_Guangdong	svs.relGeoRate_Fujian_Guangxi	svs.relGeoRate_Fujian_HongKong	svs.relGeoRate_Fujian_Hunan	svs.relGeoRate_Guangdong_Guangxi	svs.relGeoRate_Guangdong_HongKong	svs.relGeoRate_Guangdong_Hunan	svs.relGeoRate_Guangxi_HongKong	svs.relGeoRate_Guangxi_Hunan	svs.relGeoRate_HongKong_Hunan	D_trait.treeLikelihood
0	-7886.844122768221	-7720.572795185793	-166.2713275824268	0.2945433713321207	0.31569668970976106	0.18437016269418438	0.2053897762639338	1.11065990140191	0.461038840801816	1.129800164595537	0.23356782213689908	0.1707687567469404	0.22220456440817726	0.26472015500349905	0.10873870170448423	1	1	1	1	1	1	1	1	1	1	0.06587584227068251	0.04027337754855137	0.13218731643638149	0.013124135737531562	0.024828081627793618	0.2116828143662134	0.017334975183343173	0.11695405880952972	0.10950290397203619	0.2682364940479371	1.4978000039702049	10.668576689083492	61.407262325162144	-7659.142122201648	0.06587584227068251	0.04027337754855137	0.13218731643638149	0.013124135737531562	0.024828081627793618	0.2116828143662134	0.017334975183343173	0.11695405880952972	0.10950290397203619	0.2682364940479371	-61.43067298414556
1500	-6793.517411236738	-6640.6380091363835	-152.87940210035433	0.2945433713321207	0.31569668970976106	0.18437016269418438	0.2053897762639338	2.3576282313828973	0.24960465379253977	2.8437754782792823	0.22344759937970007	0.18233793753549274	0.23160773500321974	0.2605737303077904	0.10203299777379701	1	0	0	0	1	0	1	1	1	0	0.03672212608436321	0.06948107301895742	0.048157472872055844	0.14913868149591575	0.04971628378804294	0.11217442692685362	0.23885938286850897	0.017742514598981067	0.2399493287043151	0.038058709642006104	1.7610067970966967	11.410431240515372	80.6139812482518	-6590.0424587868865	0.03672212608436321	0.0	0.0	0.0	0.04971628378804294	0.0	0.23885938286850897	0.017742514598981067	0.2399493287043151	0.0	-50.5955503494974
3000	-6349.99805282536	-6218.013179486208	-131.98487333915165	0.3408136926061833	0.20363793898737892	0.260821667317206	0.19472670108923162	3.5312600379875394	0.18370592006234548	6.705832321232698	0.094821645708973	0.1853059275030934	0.4497979805150943	0.02973304194692422	0.2403414043259151	0	1	1	1	1	0	1	1	1	1	0.12688309825854202	0.0010440013779393284	0.011097443476045354	0.2523287089182755	0.12596586452102143	0.038937933621900844	0.2854695862733149	0.043587159010347105	0.02500385617889593	0.08968234836371754	0.9544174468741273	10.562471574244569	83.76093420830959	-6163.749357283772	0.0	0.0010440013779393284	0.011097443476045354	0.2523287089182755	0.12596586452102143	0.0	0.2854695862733149	0.043587159010347105	0.02500385617889593	0.08968234836371754	-54.263822202436145
4500	-6136.377204475849	-6006.708666932248	-129.66853754360093	0.35028137765874157	0.19085985831490807	0.2513539822646478	0.20750478176170248	7.553215098086006	0.26813444517249796	9.4807842862589	0.11414243044754488	0.29045177623344376	0.30456473973580345	0.15511511279272436	0.13572594079048358	1	1	1	1	1	0	0	1	1	1	0.21921873884313414	0.03729522533182494	0.03717065223568062	0.21997141816672294	0.09997122947713459	0.12150173190887342	0.135463758619168	0.03126001706370611	0.08625793559352844	0.011889292760226794	0.715293623565725	12.070607917025905	87.57578094147345	-5958.996823280956	0.21921873884313414	0.03729522533182494	0.03717065223568062	0.21997141816672294	0.09997122947713459	0.0	0.0	0.03126001706370611	0.08625793559352844	0.011889292760226794	-47.711843651291666
6000	-6074.945436751187	-5948.162296246084	-126.7831405051033	0.34837191599795214	0.19880971450479104	0.2006418116639533	0.2521765578333034	10.200370093803151	0.22815067722922872	8.181488104977328	0.14506435234992487	0.33482923320351643	0.22345724114115142	0.12671798405668258	0.1699311892487247	1	1	1	1	1	1	1	1	0	0	0.04941460018632128	0.20553362816218748	0.06813677943752533	0.18062977762377166	0.12457436169557118	0.06653378959704506	0.1134310315398725	0.07819716653553116	0.031834002895503796	0.08171486232667063	0.48283046422187786	11.347911479442844	84.9290236780898	-5899.770992401455	0.04941460018632128	0.20553362816218748	0.06813677943752533	0.18062977762377166	0.12457436169557118	0.06653378959704506	0.1134310315398725	0.07819716653553116	0.0	0.0	-48.39130384462912
7500	-5963.932851205696	-5839.768644751737	-124.16420645395885	0.3380326947574657	0.19880971450479104	0.2107851231865475	0.25237246755119563	8.97111620044638	0.354383152366311	7.724689410949566	0.24311834752157693	0.2960529724924531	0.07622304196843563	0.1945596573753212	0.19004598064221306	0	0	0	1	1	1	1	1	0	0	0.04521725261915449	0.05138726730156898	0.02294300323687816	0.2556055102273006	0.2071920077580034	0.007819381508342244	0.2724509930002784	0.08777078682548667	0.035112774293474015	0.01450102322951315	0.37246895635033617	10.904486022480684	81.05044433196399	-5792.411331743174	0.0	0.0	0.0	0.2556055102273006	0.2071920077580034	0.007819381508342244	0.2724509930002784	0.08777078682548667	0.0	0.0	-47.357313008563395
9000	-5948.959852937395	-5824.33008466462	-124.62976827277505	0.3456052186696136	0.19880971450479104	0.2107851231865475	0.24479994363904775	8.094783586901285	0.31950817933213754	8.065176173789931	0.2507708695919941	0.1427009687947616	0.24613925818872323	0.24618630792967755	0.1142025954948434	1	1	1	0	1	1	1	1	1	1	0.10945732161043766	0.04296311614366507	0.01408679378980917	0.3747793361197038	0.13285302145864733	0.005457367350342911	0.14644489023774698	0.08075124655710006	0.08466998809208852	0.008536918640458638	0.37469251177660473	11.023155522632537	80.47086617072758	-5778.35464314827	0.10945732161043766	0.04296311614366507	0.01408679378980917	0.0	0.13285302145864733	0.005457367350342911	0.14644489023774698	0.08075124655710006	0.08466998809208852	0.008536918640458638	-45.975441516349946
10500	-5951.34271674709	-5829.152198353592	-122.19051839349754	0.3456052186696136	0.19880971450479104	0.22265704353314747	0.23292802329244777	8.741755521734676	0.38039886366638737	7.322233858699574	0.10689106487019381	0.28668113539088436	0.2814187461590489	0.11909902254484106	0.20591003103503178	1	1	1	0	1	0	0	1	1	1	0.10272497314732504	0.026411397725235514	0.00200205599278774	0.4421538550904864	0.06682823959276651	0.02702669007589409	0.05305162844259534	0.1182300582614069	0.13093302743538957	0.030638074236113144	0.24447172039030365	10.433357482478602	76.59801464128103	-5781.695879588479	0.10272497314732504	0.026411397725235514	0.00200205599278774	0.0	0.06682823959276651	0.0	0.0	0.1182300582614069	0.13093302743538957	0.030638074236113144	-47.45631876511314
12000	-5956.0845018906075	-5831.615126500891	-124.46937538971632	0.3428648177726794	0.19886716912595662	0.22265704353314747	0.2356109695682164	9.32936446942833	0.49756011182842647	6.206413983005635	0.23037542897084787	0.25251628501684414	0.22010054357521894	0.13716096049506388	0.159846781942025	1	1	1	0	1	0	1	1	1	1	0.31454520921814355	0.007789876923618403	0.027003461232157078	0.3649311300661482	0.1348744300243737	0.009474376073363225	0.04593944939971391	0.07801926010563281	0.016569025328313287	8.537816285361932E-4	0.2517360774112816	10.36154945302493	78.2281658186283	-5784.287388784652	0.31454520921814355	0.007789876923618403	0.027003461232157078	0.0	0.1348744300243737	0.0	0.04593944939971391	0.07801926010563281	0.016569025328313287	8.537816285361932E-4	-47.3277377162391
13500	-5956.196582481215	-5832.549053507731	-123.64752897348478	0.3396166052162543	0.20211538168238172	0.22265704353314747	0.2356109695682164	7.136051362796756	0.35124702031248356	7.563670069094036	0.10624452716719855	0.24256383076295798	0.418565256939772	0.10190207113770348	0.13072431399236786	1	1	0	0	1	1	0	1	1	0	0.20958537402140884	0.0016147929746672032	0.05557495153520308	0.4773617383301306	0.04539618489104639	0.04618397903809865	0.06675357209642489	0.013261256621257288	0.020495868571502818	0.06377228192026067	0.33241178140112126	11.135360231294262	79.62698578205134	-5787.034024404694	0.20958537402140884	0.0016147929746672032	0.0	0.0	0.04539618489104639	0.04618397903809865	0.0	0.013261256621257288	0.020495868571502818	0.0	-45.51502910303721
