item                              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                         -5952.45 0.267879 5.643195 -5952.16 -5963.84 -5942.13 2029.128 443.7865 NaN     
likelihood                        -5831.45 0.343987 5.663621 -5831.09 -5842.51 -5820.91 3321.849 271.0839 NaN     
prior                             -120.995 0.309955 3.240739 -120.953 -127.694 -115.060 8237.431 109.3180 NaN     
pi.A                              0.34034  0.000459 0.010203 0.340318 0.321971 0.359984 1826.124 493.1209 0.340187
pi.C                              0.193527 0.000396 0.008606 0.193476 0.177598 0.211424 1902.942 473.2144 0.193335
pi.G                              0.218105 0.000404 0.00871  0.218258 0.201242 0.235112 1935.686 465.2095 0.217931
pi.T                              0.248027 0.000404 0.009077 0.248173 0.230022 0.264367 1788.193 503.5808 0.247861
kappa                             9.085846 0.032913 1.059506 9.006633 6.925719 10.95017 868.9678 1036.286 9.024638
gamma                             0.364623 0.002146 0.067777 0.355406 0.241534 0.498779 902.3601 997.9386 0.358626
Theta                             6.909485 0.053207 1.169554 6.759483 4.628001 9.059312 1863.688 483.1815 6.814111
pi_trait.1                        0.170946 0.003734 0.073519 0.160017 0.059238 0.32793  2323.195 387.6127 0.155858
pi_trait.2                        0.247273 0.004956 0.082622 0.235894 0.109888 0.406347 3239.593 277.9670 0.233393
pi_trait.3                        0.199349 0.003735 0.077526 0.195745 0.064751 0.343318 2090.173 430.8254 0.182196
pi_trait.4                        0.244022 0.005897 0.088216 0.238963 0.083654 0.414971 4024.458 223.7567 0.227243
pi_trait.5                        0.138411 0.003154 0.064919 0.126286 0.036396 0.261731 2126.049 423.5554 0.123812
I.1                               0.96613  0.005659 0.180895 1        1        1        881.1677 1021.939 NaN     
I.2                               0.790672 0.013189 0.406829 1        0        1        946.4764 951.4236 NaN     
I.3                               0.678512 0.015682 0.467048 1        0        1        1015.185 887.0299 NaN     
I.4                               0.759023 0.012692 0.427677 1        0        1        793.0229 1135.528 NaN     
I.5                               0.948917 0.008604 0.220166 1        0        1        1375.301 654.7657 NaN     
I.6                               0.751249 0.014846 0.432289 1        0        1        1062.127 847.8264 NaN     
I.7                               0.799556 0.010307 0.400333 1        0        1        596.9222 1508.571 NaN     
I.8                               0.846752 0.016296 0.360227 1        0        1        1842.976 488.6117 NaN     
I.9                               0.903387 0.009302 0.29543  1        0        1        892.6719 1008.769 NaN     
I.10                              0.649084 0.016483 0.477257 1        0        1        1074.116 838.3636 NaN     
R_trait.1                         0.168849 0.008545 0.110531 0.146258 0.003137 0.386463 5382.000 167.3169 0.126462
R_trait.2                         0.084035 0.004419 0.074741 0.065712 9.73E-5  0.230431 3147.538 286.0966 0.048695
R_trait.3                         0.067527 0.003718 0.068682 0.04712  0.00031  0.204491 2639.118 341.2124 0.038825
R_trait.4                         0.087592 0.004233 0.082093 0.059934 4.37E-5  0.256856 2394.030 376.1439 0.053136
R_trait.5                         0.153384 0.007034 0.095561 0.138304 0.005007 0.32836  4879.186 184.5594 0.118005
R_trait.6                         0.079922 0.004988 0.074864 0.061052 0.000183 0.21575  3997.305 225.2767 0.047046
R_trait.7                         0.101916 0.005439 0.087154 0.081925 0.000336 0.278728 3507.159 256.7604 0.063757
R_trait.8                         0.075944 0.003984 0.063446 0.054592 0.002594 0.206015 3551.034 253.5880 0.051193
R_trait.9                         0.106894 0.004392 0.074141 0.090432 0.001054 0.248431 3159.778 284.9883 0.079366
R_trait.10                        0.073936 0.004012 0.074366 0.049502 0.000117 0.219678 2621.288 343.5334 0.039359
mu_trait                          0.438786 0.016183 0.245437 0.387235 0.131082 0.850413 3914.673 230.0319 0.39189 
psi.height                        10.87620 0.01312  0.310248 10.85353 10.31061 11.47430 1610.468 559.1540 10.87180
psi.treeLength                    76.40765 0.271354 3.097804 76.35084 70.33941 82.31196 6909.509 130.3276 76.34489
D.treeLikelihood                  -5784.52 0.313351 5.301782 -5784.19 -5794.25 -5773.91 3145.589 286.2738 NaN     
svs.relGeoRate_Fujian_Guangdong   0.165144 0.008291 0.112114 0.143629 0        0.38288  4924.882 182.8469 NaN     
svs.relGeoRate_Fujian_Guangxi     0.065931 0.003846 0.074548 0.043544 0        0.218734 2396.717 375.7222 NaN     
svs.relGeoRate_Fujian_HongKong    0.037857 0.001958 0.049856 0.018445 0        0.139727 1389.448 648.0986 NaN     
svs.relGeoRate_Fujian_Hunan       0.064803 0.003237 0.078678 0.038762 0        0.229604 1524.290 590.7668 NaN     
svs.relGeoRate_Guangdong_Guangxi  0.147841 0.006742 0.098419 0.135257 0        0.325514 4226.205 213.0753 NaN     
svs.relGeoRate_Guangdong_HongKong 0.052772 0.002897 0.058622 0.035594 0        0.176557 2199.559 409.4001 NaN     
svs.relGeoRate_Guangdong_Hunan    0.082729 0.004522 0.088041 0.06123  0        0.265583 2375.538 379.0719 NaN     
svs.relGeoRate_Guangxi_HongKong   0.062724 0.00376  0.062261 0.04258  0        0.182838 3283.443 274.2547 NaN     
svs.relGeoRate_Guangxi_Hunan      0.097347 0.00421  0.076915 0.081517 0        0.237442 2697.475 333.8306 NaN     
svs.relGeoRate_HongKong_Hunan     0.039547 0.002331 0.058351 0.016836 0        0.159518 1437.296 626.5235 NaN     
D_trait.treeLikelihood            -46.9352 0.097722 1.891448 -46.7691 -50.5732 -43.4427 2403.713 374.6286 NaN     
