Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	kappa	clockRate	shape	b_m.Hong_Kong_New_York	b_m.Hong_Kong_New_Zealand	b_m.New_York_Hong_Kong	b_m.New_York_New_Zealand	b_m.New_Zealand_Hong_Kong	b_m.New_Zealand_New_York	Theta.Hong_Kong	Theta.New_York	Theta.New_Zealand	tree.height	Mascot	D.treeLikelihood
0	-2248.9909775157453	-2186.1897512898845	-62.801226225860646	0.2499618027729438	0.3059127675604093	0.2793627687993411	0.16476266086730565	2.479027851896579	0.0039043945422015582	0.5921786979192863	0.6027838188431874	0.4937374491597463	0.054862640015767676	0.8038272393373106	0.36057578411238594	3.283749285216583	1.868682373317802	1.4884790137889106	0.6078176854886301	3.743754077482231	-58.74426179234096	-2186.1897512898845
1500	-1978.111146912474	-1930.1953037594449	-47.915843153029016	0.40411531799836253	0.19578876038012896	0.19819962946072125	0.2018962921607871	4.716835317644425	0.00445543189393483	0.2632608967586359	0.46697948270509165	0.8403518915393222	0.1125777442687815	1.2489116181568176	0.2822511950795332	2.8066421743311087	2.733651769076601	1.5454890692696948	0.4408381331631594	3.8537209298517516	-43.09693637172556	-1930.1953037594449
3000	-1956.1750123277939	-1905.6687878989767	-50.50622442881714	0.35973097143511135	0.23300569168685348	0.19624845887026837	0.21101487800776653	3.648052383125089	0.003066200063318518	0.32244599018480036	1.0779317013181868	1.3591461970121765	0.08771462746212953	0.42828649322084794	0.4737013502512646	1.716161636017474	1.6803559460221629	3.441120167898361	0.4112510852694114	3.6343972516796503	-44.54390731187931	-1905.6687878989767
4500	-1958.4712444994504	-1914.3953278054603	-44.075916693990244	0.35973097143511135	0.23300569168685348	0.19624845887026837	0.21101487800776653	4.612689892526661	0.0035546566266689045	0.09190049424171659	1.3259928322036598	1.9132484407050974	0.17789725786422655	0.27906710332540324	0.29903489650911946	1.6536056206542824	1.2186246479514684	1.9874193638014443	0.27166162529633797	3.9982149710691623	-40.32240704462799	-1914.3953278054603
6000	-1951.4972681419115	-1905.0104054169637	-46.486862724947834	0.3374116329806711	0.22946289203278641	0.21301163630928663	0.22011383867725556	5.490230858839826	0.003901069959664878	0.11654305217837868	1.7329731120971503	1.0046656689754538	0.4110342629098238	0.16495724963585112	0.2779088910958779	1.1499152590279804	3.790259611738157	1.3281022038499066	0.4889190421939397	4.15356878770595	-42.28718907405232	-1905.0104054169637
7500	-1940.5808822023644	-1902.6428501697742	-37.93803203259024	0.3374116329806711	0.2146083352905576	0.21301163630928663	0.2349683954194844	6.262566943628599	0.003919863740222533	0.11640426053111404	0.795876869748178	0.8264947825175474	0.17536170777744367	0.13248349464654338	0.17211799444341752	0.524134351675589	2.113588083246037	0.9659613847209949	0.25832034222522177	3.4732649287329567	-37.1977030540301	-1902.6428501697742
9000	-1940.1563074704402	-1910.920106560133	-29.236200910307154	0.3200161878198391	0.23200378045138959	0.21301163630928663	0.2349683954194844	5.495947170981359	0.004227389143016286	0.351170192634424	0.4785287065895046	0.7934446576791283	0.24220362504426005	0.11093996054677456	0.4971933083256778	0.587864305008987	0.7854122983621376	0.7765938958428239	0.1757094269233269	2.737979182490119	-29.35960616189086	-1910.920106560133
10500	-1944.4000249877993	-1913.8427482100633	-30.55727677773605	0.3385016836638197	0.21748036986126817	0.19564287269912511	0.24837507377578666	5.344566237792193	0.005473957754089353	0.1685921929033735	0.26401175418741396	0.8428158340507041	0.2143280289743948	0.3538175044494842	0.36231202219552205	0.5186296418473693	0.9644767887564311	0.4906521322336383	0.2317563951091542	3.1638708596009986	-31.441390263274794	-1913.8427482100633
12000	-1945.9505350944407	-1908.6314048329355	-37.31913026150524	0.3385016836638197	0.21748036986126817	0.19797942865375265	0.24603851782115913	4.998869903853187	0.004591587753734892	0.1850404243058438	0.15317565500830368	0.7444546519525866	0.19997149284824986	0.22587101026693296	0.5842289737110065	0.3847760485166937	1.3379263510168526	1.3975156909586381	0.49639304423743125	2.7334586325512986	-37.536755878626614	-1908.6314048329355
13500	-1956.6362038328502	-1918.7299803950043	-37.90622343784605	0.3385016836638197	0.21748036986126817	0.21177958945643308	0.2322383570184787	5.260912606441059	0.003803413742763867	0.2642881929971017	0.23300766815822285	0.3369341124848368	0.16859022019045633	0.5355268960716818	0.4443336809534493	0.23571710664811943	1.4107643199724433	2.544450191686969	0.5138272182674838	3.243158790209882	-36.76481249324737	-1918.7299803950043
