Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	shape	groupSizes1	groupSizes2	groupSizes3	groupSizes4	Theta.0	Theta.1	Theta.2	Theta.3	psi.height	D.treeLikelihood
0	-10849.111891934797	-9998.07744654839	-851.0344453864082	0.14056749568307958	0.3178871707640257	0.32578959503423555	0.21575573851865912	0.1338291798077464	0.22816750856412213	0.23961852048150978	0.008629718326234279	0.2952574074692698	0.09449766535111769	0.259106818705826	16	19	8	19	328901.89092167653	429451.01304720447	611260.1898911607	379927.77340059564	5593.557213352963	-9998.07744654839
20000	-6692.974022421473	-6183.7646199930105	-509.2094024284627	0.2064241355654643	0.2675826270960274	0.2621654329790295	0.26382780435947883	0.055444467719240005	0.28117772156943105	0.04950126884436181	0.025802351925721254	0.5485431285246852	0.03953106141656087	0.39369552980054334	1	9	7	45	34037.11307456247	6662.543874378028	5632.658465556324	413.1817723017547	656.9542888083489	-6183.7646199930105
40000	-6656.174552457813	-6177.376806315377	-478.7977461424357	0.22800207443891943	0.299302201217794	0.2400234535897241	0.23267227075356245	0.045118160631875216	0.2932117816342821	0.06007072463393371	0.02584294760750338	0.5341476619459101	0.041608723546495835	0.3284826066559207	8	9	1	44	9758.665471416283	1679.4877111668545	129.03998396449757	248.52425427327796	417.66454262488895	-6177.376806315377
60000	-6642.022844062054	-6179.238776911909	-462.7840671501455	0.18899546927885627	0.3209924790113796	0.24274757420661786	0.24726447750314617	0.05577752716585477	0.36223226823477	0.05116931458617043	0.03227043605141354	0.4559614255487901	0.04258902841300149	0.37599310242719636	10	5	11	36	7910.480129588816	1122.033167133189	445.425281584335	155.62788058118963	358.9742678256467	-6179.238776911909
80000	-6637.233028003416	-6164.096587808913	-473.13644019450294	0.17014550957087884	0.35887971202131663	0.22731882184418603	0.24365595656361821	0.04845321343442166	0.37143511928531553	0.06816195657034496	0.027627992412357593	0.4285409182661984	0.05578080003136229	0.331677809800078	8	9	20	25	9387.227135171905	2912.2981012642063	215.1437442119791	177.8951012950566	393.2311337940982	-6164.096587808913
100000	-6629.502238006841	-6149.47605601242	-480.02618199442185	0.20082160168804364	0.31399613982366564	0.22362121506036534	0.2615610434279251	0.05196212983059108	0.380838717764459	0.04934112263757548	0.03424341075831793	0.4281997307161688	0.05541488829288816	0.39816084793037243	9	15	7	31	9268.863377677317	1298.770131302428	459.46934620978067	263.03592412850065	402.81723375114143	-6149.47605601242
120000	-6626.743426154508	-6149.067172043364	-477.6762541111441	0.1950081141133354	0.32976626453892666	0.2216585850355488	0.2535670363121889	0.04979565962343765	0.3794671996113576	0.06865181817503307	0.022877491703075296	0.43899214223047783	0.04021568865661907	0.38387875643909425	8	23	6	25	6857.659130511756	1295.3583387392237	411.65239192443687	168.67300113851257	421.5441027162929	-6149.067172043364
140000	-6634.184747714845	-6165.992712543524	-468.19203517132036	0.19178151475574043	0.3209041866343539	0.23755423768784406	0.2497600609220615	0.04882072112347851	0.35779364400521924	0.06137625655218768	0.0338859823706772	0.4559728740575836	0.04215052189085426	0.3621181134563928	10	14	33	5	14349.351346421352	999.6217218766818	164.2620509382564	272.64523736110175	402.5828827464277	-6165.992712543524
160000	-6628.412741961042	-6164.23034363758	-464.18239832346296	0.18951062708549735	0.3238814140091397	0.23392184027237847	0.25268611863298424	0.058274928452768326	0.36949118067295117	0.04819033105749759	0.024489141031907993	0.45934808198336863	0.040206336801506704	0.3287631179950345	10	6	39	7	8329.82254226732	3178.8093547749027	188.1168634109584	285.9017762768418	406.2916751183699	-6164.23034363758
180000	-6627.826094973702	-6164.2221737557065	-463.6039212179955	0.19745898074428206	0.31544333778259737	0.23923112529185311	0.24786655618126754	0.0425718950982192	0.3533673239198368	0.04482464706042712	0.024227869396039516	0.49656053472485506	0.03844772980062277	0.37207981351348796	11	10	36	5	8173.737775504656	993.9633743493392	170.99068299512004	598.9622860622474	492.3305803426451	-6164.2221737557065
200000	-6627.412772218584	-6163.990000107973	-463.4227721106112	0.17800918470906626	0.3334176399407895	0.22556074228675355	0.26301243306339084	0.05204135267336739	0.34977669535694056	0.07152209041360687	0.03169965240869241	0.4618647861624206	0.033095422984972436	0.34275415649207946	13	2	46	1	7426.710348504051	65.47966358822242	256.9595146852749	11.966245822886986	455.62573416944633	-6163.990000107973
220000	-6635.911357703738	-6162.7615246963705	-473.1498330073671	0.1805529881409032	0.3381704944345876	0.1960995006444361	0.2851770167800732	0.04783182339992624	0.4052335122912972	0.06383170729112372	0.03515767978360101	0.4187290175574904	0.02921625967656157	0.38096704824108285	11	23	27	1	16517.74101452796	299.19276285870984	200.05699867869035	54.82121110065221	390.633283595294	-6162.7615246963705
240000	-6606.208109502641	-6148.41293587823	-457.79517362441055	0.184754324814977	0.33562382289796067	0.22755109209783372	0.2520707601892285	0.03917141663411351	0.4061275891185924	0.06463737624639929	0.023806556934284538	0.42665266849973976	0.039604392566870796	0.36223990479919804	15	41	2	4	4212.1547333703365	121.19472822362025	160.28950361671667	185.81177027927362	399.2533418147907	-6148.41293587823
260000	-6605.895392028149	-6156.696014284637	-449.1993777435123	0.18029409674831787	0.3603453162903062	0.22122571639822944	0.23813487056314664	0.035438213318025276	0.3738925630501839	0.06235173177614123	0.02601197306466219	0.45305128964348645	0.04925422914750132	0.35838978667798466	14	42	3	3	5244.043397730011	151.19371178519293	622.4424510366725	30.398878260183043	389.85208729106876	-6156.696014284637
280000	-6622.4235593671065	-6156.925211561957	-465.49834780514936	0.19903225198189556	0.3289363030935392	0.2131399398636592	0.2588915050609063	0.04824224955297342	0.3712011493206969	0.058375085944585646	0.022560363871629144	0.4605469999751487	0.03907415133496657	0.3497761318130073	15	39	3	5	9539.203634537866	121.56911615303918	374.38765737246774	529.723359531895	465.7253422613018	-6156.925211561957
300000	-6603.739036180684	-6146.558643858698	-457.1803923219855	0.20193794799698053	0.3327681030485557	0.21857487597127165	0.24671907298319246	0.04606501391235332	0.36987935297112934	0.05656102871233522	0.025794311549236712	0.45326240740762946	0.048437885447316274	0.38450063957116715	10	27	13	12	8808.967434038046	224.42953119479907	104.99995439464867	286.5153104554212	398.3932987885542	-6146.558643858698
320000	-6617.479616174854	-6159.888380495325	-457.59123567952895	0.19530677611166058	0.32415081815617364	0.23245172779057663	0.24809067794158962	0.048678185763771344	0.37423085110064624	0.05498185480580733	0.0315400889249494	0.44315275854835756	0.04741626085646824	0.39759013114367203	10	36	11	5	13649.269585334136	239.45234859403547	91.58951594709919	425.08881830470267	432.44484975905726	-6159.888380495325
340000	-6623.221184318502	-6163.124031041364	-460.09715327713815	0.19099895863556574	0.3130774822970293	0.23873569069887307	0.25718786836853225	0.052149443008446664	0.3287700825235875	0.06332086324701397	0.019836343182022646	0.492139769219901	0.0437834988190282	0.3138726381828902	13	31	14	4	8592.981467203612	257.5476155756533	71.42452759971805	396.05377191945416	423.00011070494855	-6163.124031041364
360000	-6620.192304170721	-6162.879706610906	-457.31259755981534	0.198594498770227	0.3115055759398096	0.2228254938047103	0.26707443148525334	0.06003966077932846	0.3383934920787273	0.051816064825037186	0.04231395620654717	0.46333229677555926	0.04410452933480069	0.3140353815408072	16	29	13	4	4571.5802141605955	164.80717605894452	110.38818512073625	321.2891010521149	380.59217913419934	-6162.879706610906
380000	-6636.156813540374	-6170.07977742929	-466.0770361110843	0.1829716728620103	0.3169238185761704	0.22951020879940062	0.270594299762419	0.07012358372693614	0.3272641655990417	0.05075542099706741	0.034667390444789156	0.4791677879034911	0.03802165132867458	0.341525246545905	18	31	9	4	7248.917907223574	203.0898111979324	146.72758145692353	450.87197829794286	362.38739842349116	-6170.07977742929
400000	-6624.512909875162	-6160.112426836087	-464.4004830390745	0.19128685889547822	0.30988668356511234	0.23546464336974002	0.2633618141696697	0.05278186152606424	0.3186716072734666	0.07140543540836544	0.030649100223442385	0.49222098460463437	0.03427101096402698	0.37932396974710647	18	1	14	29	4247.982091289444	643.119434140795	66.70684127435398	156.52120352868593	414.05932544489485	-6160.112426836087
420000	-6650.826179157883	-6168.649051993394	-482.1771271644893	0.18657371643079798	0.3332902061614656	0.21733553998863459	0.262800537419102	0.05030516023890641	0.4032830044701835	0.057110508277895856	0.028539887005691295	0.42391921577118696	0.03684222423613584	0.40705847802194106	10	21	23	8	10753.080374270216	661.2549562630401	151.79003521403658	498.73276735099836	512.598825929649	-6168.649051993394
440000	-6642.278874904943	-6162.230328064307	-480.04854684063616	0.19770901178836137	0.34361666619536113	0.20179611528448943	0.25687820673178824	0.042366024197690824	0.3595765012393574	0.04882538714616459	0.026713176637800203	0.47657588645166543	0.04594302432732129	0.40545368391066566	12	22	22	6	6167.023956880527	629.8359070346037	220.8185777492034	482.0992409620073	490.2156472805908	-6162.230328064307
460000	-6639.427768493803	-6167.489251014259	-471.9385174795446	0.20341329522544466	0.3156260655976059	0.23838353266731813	0.24257710650963146	0.04532515364106562	0.3446154733321736	0.04569168248343736	0.024241605518568368	0.49476284246390906	0.04536324256084558	0.38423391139943436	10	21	23	8	8710.213681273153	798.7732427454123	177.95606445117843	570.9441045116639	421.2674586257859	-6167.489251014259
480000	-6629.637102081552	-6169.193322927192	-460.4437791543607	0.1797121122932037	0.34233540706047216	0.251927439982254	0.22602504066407042	0.044549376868419706	0.38318399445941986	0.06302966860898149	0.024164768277448536	0.42895392653339176	0.0561182652523381	0.3317612041934692	10	19	28	5	6245.826218828408	611.5133120743702	138.62201761458755	401.2411590477663	448.6615197659499	-6169.193322927192
500000	-6625.290008803062	-6151.892648341666	-473.3973604613958	0.18755723901645158	0.3047562439727982	0.23079413205915125	0.27689238495159896	0.06335259744166598	0.3593953136444204	0.0703151558850371	0.03394986483942615	0.4406854812199854	0.03230158696946439	0.3847266279670673	13	18	27	4	6015.142966482486	348.9897832827597	166.8649641270729	353.011668307582	379.503052308595	-6151.892648341666
520000	-6616.111390173017	-6157.850492236086	-458.2608979369307	0.19334285257853698	0.31456436608550187	0.21741012797577902	0.27468265336018216	0.05701473874183701	0.40470499040077923	0.0432293393527569	0.02492952651497559	0.43542824186292794	0.034693163126722805	0.3500619638182645	10	23	25	4	16038.870120886519	266.62173859082856	128.58335760104512	299.24874461524945	523.0076590847674	-6157.850492236086
