Sample	posterior	likelihood	prior	pi.A	pi.C	pi.G	pi.T	rates.AC	rates.AG	rates.AT	rates.CG	rates.CT	rates.GT	gamma	A.1	A.2	A.3	A.4	Theta.1	Theta.2	Theta.3	Theta.4	psi.height	psi.treeLength	D.treeLikelihood
0	-10056.324152157447	-9364.356104140035	-691.968048017412	0.28324490580318623	0.22247852848355795	0.22950598785141746	0.26477057786183844	0.04322212690766495	0.2891380950181963	0.03495717100095839	0.0020934288845118817	0.5489820770143079	0.08160710117436064	5.1436373156272115	2	41	4	15	404711.0778620876	89523.14013328284	11305.427303106078	1534.1220119944348	620.3592030810473	7768.673133093781	-9364.356104140035
20000	-6693.731734451006	-6199.981626587017	-493.7501078639886	0.2106431432270208	0.324901981059567	0.23852043950760246	0.22593443620580975	0.04846363286457278	0.34036675676962824	0.06296341468543169	0.02710614924662164	0.47720243903355314	0.04389760740019255	0.4340312725808964	2	9	13	38	40890.73188788421	9570.1642709874	968.3845601485234	306.8899208588733	507.8994431946523	6478.998725461566	-6199.981626587017
40000	-6650.256990963099	-6182.168859210085	-468.08813175301424	0.20356938768978275	0.330211953391726	0.19138361601180387	0.27483504290668753	0.05529859371530105	0.3619105705749152	0.06738650729659015	0.03444141769930577	0.443758748529359	0.03720416218452881	0.30170030840228373	11	6	12	33	5976.272869929483	1151.3173871621998	276.03023620127027	244.08006964095148	411.8242374895223	5281.312881249794	-6182.168859210085
60000	-6644.039354650965	-6174.429605781316	-469.60974886964897	0.18998140231391256	0.30787581864672164	0.25000375497474875	0.25213902406461713	0.04374161838398155	0.37060001769204365	0.06304122089412069	0.031935143160860935	0.4479979815274695	0.042684018341523536	0.32868816899440706	15	1	7	39	8839.89770836949	1053.5929398682704	436.2914426032398	241.73434158396142	387.5369049659356	5083.574967754644	-6174.429605781316
80000	-6653.863033365261	-6166.892360374212	-486.9706729910488	0.17785550861455304	0.34241582524275266	0.21704303173781903	0.2626856344048753	0.05134729286785546	0.40283360240415905	0.04845304234798915	0.029128707602767798	0.41715931422463676	0.051078040552591644	0.35035474892508456	17	5	10	30	9603.586839836418	565.145379629434	338.9817111848843	216.24957211791514	439.8930948239179	5965.036045698053	-6166.892360374212
100000	-6637.858733535167	-6160.965063354157	-476.89367018100967	0.18976726083662823	0.327779809015874	0.2189014560512906	0.26355147409620716	0.04080279633459515	0.3626727154747042	0.0638206413156501	0.03610178128145512	0.45691380256687664	0.03968826302671862	0.3368478421562231	12	12	28	10	8692.017236362111	659.9189850351956	142.93237421220078	455.64188852268836	440.52258734503755	5795.214687515071	-6160.965063354157
120000	-6638.050032362499	-6170.7463570257	-467.3036753367996	0.22243932582466444	0.2958326295925935	0.2401446534676735	0.24158339111506866	0.060369669731161986	0.3303323533605596	0.07225382230551958	0.02163344581833855	0.4708885372762187	0.04452217150820143	0.4016763026927817	10	8	40	4	11472.776460756038	402.5140322442003	220.49766815284366	387.25019928411757	402.0932907961562	5783.072381679614	-6170.7463570257
140000	-6633.936589015796	-6177.2410614302125	-456.69552758558376	0.17665317341420794	0.3113428131229938	0.24894358679118395	0.2630604266716145	0.0572849781701048	0.38175478690798986	0.06387284980270072	0.025664135412561323	0.4302069283721314	0.0412163213345116	0.35663846666470567	10	18	26	8	7801.449329400831	226.47780823916221	201.5452571623521	289.08300965293256	368.1213170200085	5357.263383267394	-6177.2410614302125
160000	-6617.0601357051355	-6176.51635424001	-440.54378146512613	0.19439057451303127	0.33466323357311517	0.2099130395031351	0.26103315241071867	0.05250404551111731	0.4085989628045577	0.06279306389944354	0.03852126902710206	0.38795355965049527	0.049629099107283914	0.3535506084855386	12	2	41	7	9980.131088671274	110.0233044831222	152.56352351828738	199.20718289254233	371.2104840699986	5091.553457481769	-6176.51635424001
180000	-6622.515095901918	-6174.820047148734	-447.6950487531839	0.17368014801154127	0.30591568862308877	0.2518383245842611	0.26856583878110907	0.06607061271124406	0.41159377614549886	0.06470470351522886	0.02569653088781526	0.392859146032665	0.039075230707547884	0.3759908636670578	12	13	27	10	6700.077087650937	261.60480067741526	117.07371070503115	403.4861601910556	348.9728403964925	4745.819899585618	-6174.820047148734
200000	-6634.4632875047655	-6160.9047125629995	-473.5585749417657	0.18990269486710828	0.30630298640634485	0.2264573860156432	0.2773369327109038	0.061487344684661854	0.3473204122705482	0.03686160799426304	0.031877443873382524	0.46642368891355834	0.05602950226358588	0.3401102990822482	15	42	2	3	9528.334436027195	194.52511221948723	630.179113095552	145.372576648882	537.7023769911964	6218.019023395945	-6160.9047125629995
220000	-6616.65649738803	-6171.610101916142	-445.0463954718884	0.21351158487432487	0.3187730512341328	0.21759060277287673	0.2501247611186659	0.052473106584595544	0.32343846567248813	0.07452861707234112	0.032944528398104335	0.47654075593953815	0.040074526332932583	0.3734445391884177	10	24	21	7	13786.205327730142	154.90473785807825	232.79459041073213	460.74703237775395	458.849605532288	5666.043639535344	-6171.610101916142
240000	-6597.059418183345	-6165.609795425024	-431.4496227583213	0.1689184112975705	0.338965836192063	0.2127967065374304	0.27931904597293605	0.057851656171338806	0.41122766061592414	0.05067635937077504	0.033019761024127375	0.3939533044790738	0.05327125833876072	0.29665291097550395	10	21	27	4	9676.256668348338	115.10875895993475	84.13410869288518	301.2293557990695	393.9362233808363	5365.455765025607	-6165.609795425024
