Sample	posterior	likelihood	prior	pi_0.A	pi_0.C	pi_0.G	pi_0.T	pi_1.A	pi_1.C	pi_1.G	pi_1.T	pi_2.A	pi_2.C	pi_2.G	pi_2.T	kappa.1	kappa.2	kappa.3	r_0	r_1	r_2	mu	Theta	psi.height	psi.treeLength	codon_0.treeLikelihood	codon_1.treeLikelihood	codon_2.treeLikelihood
0	-17061.3100527056	-15916.706614575796	-1144.6034381298057	0.18143369586716987	0.5087419032554847	0.1962934712728071	0.11353092960453834	0.11293816480207254	0.4009417958065878	0.20187690617614895	0.28424313321519074	0.2397066875018033	0.47635404354846667	0.07349479208518024	0.21044447686454978	4.949654942993953	3.204468290638271	4.534472539578959	0.5916908851486032	0.8950921757309745	1.5112726100020821	4.930564149657986E-4	500.6741207372379	1002.0534409719088	9738.931419941351	-4402.746981872785	-5566.4054490622475	-5947.554183640763
500	-15729.873333449415	-14570.946370080557	-1158.9269633688575	0.18143369586716987	0.5087419032554847	0.19348075317069677	0.11634364770664868	0.23577464796154896	0.49339233645027025	0.11709263806081804	0.15374037752736278	0.2397066875018033	0.47635404354846667	0.07349479208518024	0.21044447686454978	4.949654942993953	4.218317397636679	4.534472539578959	0.5916908851486032	1.1581552136245175	1.2482095721085391	3.6939946907125907E-4	691.8535300455993	1047.2655751658908	11197.15803247272	-4020.590364276363	-5015.241341343414	-5535.114664460779
1000	-14159.042266035793	-13003.661151352337	-1155.3811146834564	0.18143369586716987	0.5087419032554847	0.19348075317069677	0.11634364770664868	0.19195122134025883	0.4763437244020785	0.11709263806081804	0.21461241619684468	0.2397066875018033	0.47635404354846667	0.07349479208518024	0.21044447686454978	4.949654942993953	4.218317397636679	5.823366480650224	0.5673722377151569	1.1581552136245175	1.2724124164589692	3.8669640846928955E-4	691.8535300455993	994.8803355598627	10572.882129378564	-3581.115833767077	-4417.418255282604	-5005.127062302655
1500	-13347.466152286699	-12193.883543503474	-1153.5826087832252	0.39107214973879595	0.3067093697387094	0.08923434355830845	0.21298413696418628	0.19195122134025883	0.4763437244020785	0.11709263806081804	0.21461241619684468	0.2397066875018033	0.47635404354846667	0.07349479208518024	0.21044447686454978	6.090343403415431	4.218317397636679	7.553628612637502	0.5673722377151569	1.1581552136245175	1.2724124164589692	3.98353164795769E-4	711.0034039331227	913.1614708820907	10442.722254386425	-3244.4533174283656	-4149.3120516324625	-4800.118174442648
2000	-12131.286269425018	-11007.864717046028	-1123.4215523789899	0.39107214973879595	0.3067093697387094	0.08923434355830845	0.21298413696418628	0.19195122134025883	0.4763437244020785	0.11709263806081804	0.21461241619684468	0.19081403733302857	0.47635404354846667	0.07349479208518024	0.2593371270333245	7.282610922100377	5.287262407460213	8.81812669660191	0.6153873068352406	1.1103687876907198	1.2724124164589692	3.769681179445402E-4	894.6505489168949	681.9934526887382	9967.219483607001	-2919.5133236233764	-3722.548623818614	-4365.802769604036
2500	-11661.156964596546	-10552.224375028707	-1108.9325895678394	0.39107214973879595	0.3067093697387094	0.08923434355830845	0.21298413696418628	0.19195122134025883	0.4763437244020785	0.11709263806081804	0.21461241619684468	0.18410443012767566	0.47635404354846667	0.07349479208518024	0.2660467342386774	7.282610922100377	5.598592348503307	9.655104621175266	0.6153873068352406	0.983571442507753	1.3992097616419361	3.12904074606442E-4	1450.1051725214334	717.3038194744885	10597.153800290282	-2807.502026938792	-3516.671663991476	-4228.050684098439
3000	-11132.823437461171	-10022.336371232503	-1110.4870662286694	0.39107214973879595	0.3067093697387094	0.08923434355830845	0.21298413696418628	0.21665635970182792	0.4763437244020785	0.09238749969924895	0.21461241619684468	0.23311799490496354	0.4021312664706106	0.07349479208518024	0.2912559465392456	7.282610922100377	6.712976121096149	9.655104621175266	0.6153873068352406	0.983571442507753	1.3992097616419361	2.971867114778504E-4	1552.4334470988272	733.7322959450398	10002.09285778548	-2669.7992950655976	-3343.649764616154	-4008.8873115507517
3500	-10777.030254537536	-9643.025156492959	-1134.0050980445772	0.39107214973879595	0.3067093697387094	0.08923434355830845	0.21298413696418628	0.21665635970182792	0.4763437244020785	0.09238749969924895	0.21461241619684468	0.23311799490496354	0.4021312664706106	0.07349479208518024	0.2912559465392456	7.282610922100377	6.712976121096149	11.050970465214997	0.6131545193467127	0.983571442507753	1.4014319168090899	2.4637973238720185E-4	1833.004806735069	721.8990211412206	11222.18390731722	-2533.0616578150625	-3243.338689974404	-3866.6248087034915
4000	-10344.245655316909	-9230.921887307059	-1113.3237680098505	0.4083977976686153	0.28938372180889005	0.08923434355830845	0.21298413696418628	0.21665635970182792	0.4763437244020785	0.09238749969924895	0.21461241619684468	0.23311799490496354	0.4021312664706106	0.07349479208518024	0.2912559465392456	6.995281283263342	7.36458542301068	10.45052288280639	0.6747468057554731	0.9292449982091707	1.3944593713008582	2.9022158972758367E-4	1699.9353434243512	532.8287543560494	9705.166474893551	-2400.980052756037	-3100.4153962631904	-3729.526438287831
4500	-10225.32205079734	-9104.071507064582	-1121.2505437327582	0.4312803440353319	0.26650117544217344	0.08923434355830845	0.21298413696418628	0.21665635970182792	0.4560785982218025	0.11265262587952493	0.21461241619684468	0.23311799490496354	0.4021312664706106	0.07349479208518024	0.2912559465392456	7.639153959087831	8.346124619157466	10.45052288280639	0.7024313182691849	0.9016923167074289	1.3944593713008582	2.5393891741577767E-4	1767.0290242559374	557.2679661247631	10150.378353903325	-2374.593647477793	-3040.8366288006337	-3688.6412307861547
5000	-10013.319763614205	-8896.519562907197	-1116.8002007070081	0.4312803440353319	0.25018851933251873	0.10554699966796313	0.21298413696418628	0.21665635970182792	0.4560785982218025	0.11265262587952493	0.21461241619684468	0.23311799490496354	0.4021312664706106	0.07349479208518024	0.2912559465392456	7.639153959087831	9.178345369666843	9.077058886167409	0.5979187146919958	1.0057072412199648	1.3944593713008582	2.722181341333E-4	1890.738485631301	521.8510778599876	9768.055947072524	-2298.7725007848835	-2992.7879135802455	-3604.9591485420683
5500	-9749.319646111475	-8635.746339092584	-1113.5733070188917	0.4312803440353319	0.2610918034186459	0.10554699966796313	0.20208085287805913	0.21665635970182792	0.4560785982218025	0.11265262587952493	0.21461241619684468	0.23311799490496354	0.4021312664706106	0.07349479208518024	0.2912559465392456	7.639153959087831	8.495378532207702	9.077058886167409	0.5979187146919958	1.0057072412199648	1.3944593713008582	2.5840874343452646E-4	1898.919875317896	431.3372139885559	9327.142840011156	-2231.584875749073	-2877.9218008162843	-3526.2396625272263
6000	-9657.496215309984	-8548.518314412198	-1108.977900897785	0.4312803440353319	0.2610918034186459	0.10554699966796313	0.20208085287805913	0.21665635970182792	0.4560785982218025	0.11265262587952493	0.21461241619684468	0.23311799490496354	0.4021312664706106	0.07349479208518024	0.2912559465392456	5.98189787065947	8.495378532207702	9.687401718739205	0.5979187146919958	1.0057072412199648	1.3944593713008582	2.670721474717018E-4	2087.4392004096458	409.8236329881668	8966.490250309867	-2210.045915919447	-2849.1722762838563	-3489.300122208894
6500	-9509.817166280101	-8397.760646342735	-1112.0565199373668	0.5154229200550415	0.17694922739893623	0.10554699966796313	0.20208085287805913	0.21665635970182792	0.4560785982218025	0.11265262587952493	0.21461241619684468	0.23311799490496354	0.3947829834057216	0.08084307515006926	0.2912559465392456	5.98189787065947	8.495378532207702	9.308825575134698	0.5979187146919958	1.0117921836259196	1.3883744288949034	2.588094391837422E-4	2087.4392004096458	404.29225335394966	9179.184506162877	-2179.061541846002	-2788.6376369247023	-3430.06146757203
7000	-9390.535333560032	-8289.405718317232	-1101.129615242801	0.5154229200550415	0.17694922739893623	0.10554699966796313	0.20208085287805913	0.21665635970182792	0.46611611896399635	0.11265262587952493	0.20457489545465085	0.2282701295161566	0.3947829834057216	0.0856909405388762	0.2912559465392456	6.089776213507052	8.495378532207702	10.76221422667332	0.5979187146919958	1.0033556702157878	1.3968109423050352	2.5772699591652113E-4	1774.58673341456	389.1066995314358	8536.999674817207	-2151.4786076692303	-2748.0625114832874	-3389.8645991647145
7500	-9221.106486813009	-8121.367226371361	-1099.7392604416486	0.5154229200550415	0.17694922739893623	0.10554699966796313	0.20208085287805913	0.21665635970182792	0.46611611896399635	0.11265262587952493	0.20457489545465085	0.2282701295161566	0.3947829834057216	0.0856909405388762	0.2912559465392456	6.089776213507052	6.840891932549316	10.8711906594184	0.5979187146919958	1.0033556702157878	1.3968109423050352	2.6389389962006124E-4	1874.943320547571	380.9659815668038	8625.67355402273	-2114.568857373444	-2694.4418218195597	-3312.3565471783572
